,LAT,LON,INCOME,MEDIAN,STDEV
20973,40.6100424,-73.9769277,59701,41984,53335
20974,40.693245000000005,-73.9084239,40674,42903,22701
20975,40.6130385,-73.970977,50234,32647,51439
20976,40.6157674,-73.96932199999999,72847,45218,65271
20977,40.6180934,-73.9732468,80586,57268,75267
20978,40.7065844,-73.9289569,74514,61385,61526
20979,40.6276229,-73.97351640000001,55584,44950,49295
20980,40.627036100000005,-73.9841274,61580,53597,48522
20981,40.6333984,-73.97887440000001,69498,39300,59005
20982,40.6332088,-73.9695313,37898,32062,35504
20983,44.054966799999995,-73.53261859999999,60607,52647,43672
20984,40.640476899999996,-73.97620859999999,56018,42290,42065
20985,40.7035729,-73.94409990000001,39877,30522,42953
20986,40.6429642,-73.9738207,61917,48377,51093
20987,40.7162166,-73.944594,73987,59109,59838
20988,40.648263299999996,-73.9774137,91731,89072,58825
20989,40.648719299999996,-73.97352009999999,112644,110772,67263
20990,40.6512352,-73.96073630000001,58577,44802,44932
20991,40.648751399999995,-73.96036720000001,56072,49284,40574
20992,40.711791299999994,-73.9521634,104162,103535,65271
20993,40.6386227,-73.9567106,45033,34818,34883
20994,44.848220899999994,-74.29865840000001,44669,28985,42492
20995,40.7157159,-73.9551571,109349,91700,70795
20996,40.7088833,-73.95997840000001,42862,18094,56810
20997,40.708399799999995,-73.9536946,58081,59717,40427
20998,40.7007289,-73.9541699,67886,45012,66779
20999,40.7037668,-73.95736009999999,45769,29707,55176
21000,40.700298100000005,-73.9599546,40123,26872,29912
